pathway	P34104_257	P34104_301	P34104_302	P34104_303	P34104_304	P34104_305	P34104_306	P34104_307	P34104_308	P34104_309	P34104_310	P34104_311	P34104_312	P34104_313	P34104_314	P34104_315	P34104_316	P34104_317	P34104_318	P34104_319	P34104_320	P34104_321	P34104_322	P34104_323	P34104_325	P34104_326	P34104_327	P34104_328	P34104_329	P34104_330	P34104_331	P34104_333	P34104_334	P34104_335	P34104_336	P34104_338	P34104_339	P34104_340	P34104_341	P34104_342	P34104_343	P34104_344	P34104_345	P34104_347	P34104_348	P34104_349	P34104_350	P34104_351	P34104_353	P34104_354	P34104_355	P34104_356	P34104_357	P34104_358	P34104_359	P34104_360	P34104_361	P34104_362	P34104_363	P34104_365	P34104_366	P34104_367	P34104_370	P34104_371	P34104_372	P34104_373	P34104_374
PWY-5109	9.171929032907284	0.0	0.0	0.0	0.0	0.0	62.44872142572536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.449204901284666	0.0	0.0	0.0	1051.4709916690229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.14543787800889	0.0	0.0	0.0	0.0	0.0	27.284801966019046	52.908428559666774	0.0	0.0	0.0	0.0	49.32974586436679	140.52638108822165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.690014376558228	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5121	322717.16316431697	146990.10971742836	125554.18479842495	351384.6146144549	308647.0168737544	189336.774003925	228084.49949958187	179334.17374232068	204248.43783483893	284552.65156085993	176810.3258586042	186518.67510335712	303026.2898368486	253220.0423050062	391047.6666239695	142855.54531317708	306541.0102916889	239667.773292808	358368.2932587889	68000.00328469017	154390.5941146294	154973.74547901357	178836.61589260088	232504.94735624365	241361.59737340375	287830.02102749713	262176.7806368677	251888.90943094087	264463.61186247	400402.40558292356	2839.2624872756255	8673.146061944271	193782.80674366598	267053.62072210415	135384.58308231592	138728.90122301367	207004.49884499158	293349.57830356125	301744.96500867663	214226.2237619366	132501.19236033264	207176.07371844002	165394.52732317685	79433.05784472257	209857.2493097104	49393.84257611258	118058.38443222798	157307.10010813223	175989.26591796323	190514.74159913653	202308.22819819866	356767.272189236	256264.74316157686	141328.3256295177	95896.8473175571	188488.1931362194	173682.6457807042	311707.934583522	241314.9257011006	196241.73819462385	152519.52389741017	196375.12471216265	150245.79138854382	208553.54081682162	210162.36216021606	138481.78476729486	174569.41480400125
PWY-5129	71.79551138244449	0.0	0.0	0.0	0.0	0.0	15.945485519591141	0.0	0.0	0.0	0.0	51.803108862949465	38.30357142857142	10.363160252213762	221.15527309544038	0.0	0.0	0.0	0.0	0.0	0.0	17.41478530323152	0.0	42.86710169688844	56.000985630530664	0.0	0.0	247.96450363934153	655.507604146419	0.0	0.0	0.0	172.2273696860571	75.93082719971899	0.0	0.0	0.0	0.0	111.17625711933604	517.1954617871419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.422184591025	0.0	0.0	48.67947114297803	0.0	0.0	0.0	0.0	0.0	0.0	7.737983368216057	0.0	0.0	3.272727272727273	0.0	0.0	0.0	0.0	0.0
PWY-5130	59417.96810083399	6227.49450189844	23621.579798868108	280589.3825446265	201030.1800054085	89365.89765296553	33415.49484891886	47970.72566512241	18213.20394135269	166713.2406874004	89129.74868742902	42446.40530391667	29574.783055546708	47019.806202639535	170266.08519109036	32502.214203336123	247257.8456880803	137764.37219511744	260394.67224928338	8864.37736586754	37669.50150444179	24466.48165298882	102016.93930041876	83925.54893024029	50637.04748792797	79383.43483082441	92554.51675830477	133297.7981988853	303073.99442721956	262909.39644138614	6852.195132810467	6922.105536032765	33330.94536997398	62254.22068171958	84537.2219262947	31818.701000641035	83741.74221719285	142698.23765181648	141359.7667424373	174189.491419252	12049.416641386715	114023.77587352686	41440.71287451074	6097.103442180854	154803.2875281725	21052.846565373096	24316.309353305332	111953.24026789596	92227.54509547143	143908.8616951697	67017.1660885112	197296.40545256587	146654.45757570225	59673.8254782018	16489.1270335185	91847.98353332143	11852.90348566071	268572.62536206667	84824.2145889945	41572.95919593622	20593.571168579092	131034.98625105132	18915.081249935196	132892.32299072578	102324.14546309254	88809.15221758278	19458.945791333495
PWY-5136	466132.5668552548	4458.713668070613	80361.9276158318	353277.3137490897	435407.1709379444	193470.06110957701	287588.5467244888	36184.11881829555	165805.14397422396	56209.95246679199	27759.630424338335	150063.32228718273	374645.7047024435	26332.14356863794	452959.34606494324	23199.978580976334	5840.707354533122	739.5032854076397	20632.289011844547	18532.83946587505	41125.99531526245	75238.46307742386	107755.50854414984	237278.9756659257	151320.1981361981	482364.1021289147	373461.9465828978	175311.19911504808	385564.60573318513	10083.76786047786	2452.1352114952997	11621.167409354086	187468.94341602185	466585.7836099558	153389.65292875876	6654.964555048266	279300.45640209835	515164.6479010692	374253.78635856765	296192.2555114245	6269.352704481157	557.9779707137235	21659.388282756576	2999.410952582068	33393.5475663754	1446.7824488451195	52112.73040250042	10570.576362408801	189652.50483267143	304440.7296222405	102893.10546768342	729921.2721579537	2419.7041883704414	2294.584922161199	58919.57316460489	381.35328919288213	67132.36736093006	342.2349093876742	173865.28012504338	672.3080315651729	10935.276376942544	14365.11686327403	11704.015953992734	4592.928280055547	118863.92606235796	257546.96104365736	103304.9957160798
PWY-5138	345636.95333070087	935.3976191927688	58906.57380341998	80038.30632639404	191805.50873967758	84110.75410463034	153877.5414724291	16999.822580179887	120932.22940355443	35715.5897482175	22436.693160605988	67044.09226967751	262319.43057277467	666.6062712594226	234889.2865420008	1097.2660679810497	356.6770669204369	88.04197052130826	1729.3063897694676	12077.467476796457	32643.30349503129	50199.42716554317	55599.400734115196	92724.64943122667	50757.614661605214	231867.04018057635	176832.34516714583	25194.067650449055	76585.19274355307	3947.056539757198	11300.802105378263	9377.218990110196	112077.23128896565	295866.3365639541	36908.4549541031	268.0705481649912	101482.05443016834	293523.3870029302	150107.87546267538	45309.22590407484	1450.9619869562468	156.87845018589314	2133.5401928308265	5993.601058524071	846.7746576602073	456.7629015426163	28411.3124157396	4554.577754018372	37651.89814728049	144507.20396203717	66216.10439111474	336397.27326970984	1316.9083843287865	1287.4322775807466	41165.5939257931	130.80719071680286	37694.85226225541	80.5357178025368	116257.43512326264	81.73887991653831	481.10918528913294	1863.32504979088	243.0938705778273	3798.1205375089953	56748.45168682434	113086.27980554596	88586.46643090819
PWY-5154	344567.0269346808	20601.43908330824	62166.47550139165	84232.96296485962	161887.1453059974	81752.27027350642	132721.66201947283	36532.46821311648	133545.74386360782	43486.004277214364	23272.130911607244	82361.31823516924	207139.67868545183	35825.63082698252	255075.49232910687	22442.895856704534	4827.522098453012	3981.506738472334	12262.913264723189	17947.84782027066	38652.417882036476	62663.879368994174	73248.46906267444	144967.1555922734	102766.57555017507	217417.6465297659	167588.5791458408	123499.33006869312	208979.3913926403	10500.791122141925	6240.84522602289	10124.160123258598	115182.2274386417	243083.04986826805	77312.9025423506	4691.165483967206	159585.27183500983	262829.29563247494	166193.75137470404	157528.8109130226	16123.4182441649	14866.88330507705	9527.130068235148	9022.761244505347	19835.56009680459	808.4906219316522	46102.99943490945	13302.956567311829	108097.71583780329	171428.2084622659	61867.70900331314	289242.01425919373	1806.3065205274752	2319.2785489186585	60178.37344946509	743.5469259698486	45273.68343564837	426.8014112803634	96502.6284604761	587.4307708186835	9265.448233428133	3279.698892462956	635.8382975259208	3620.68417421968	54723.791009937784	153545.2091503755	94518.99206556624
PWY-5178	4555.209967994192	249.94455434917043	2602.0348243324065	9606.36624426915	2344.5694106958754	1843.4427209529797	38880.227020070175	1354.1157720681401	759.1145185312154	1461.0339537316827	0.0	10728.46626957099	11328.651673261285	0.0	42502.018842312704	4363.04817967581	24.668074767302443	132.83107597687126	5046.397636560122	634.2372807398134	148.1806794988915	1796.3534759936997	273.0579324611624	6653.172127308	3405.359241903182	4801.002448548624	7252.76109566698	7765.859381095967	11168.771245228989	259.3320552939058	0.0	909.1509246744741	12244.60082441494	58614.84501840313	5435.81026406141	69.40890415918751	4710.4825169043315	20423.50081260404	17632.35527594347	9795.764677878688	772.6782759132536	276.4401534306092	300.99563979052516	0.0	558.8564108582964	14.382241219081733	699.0338510284803	587.7485208715392	8020.351511696995	354.60451903675505	34.88218049644965	4505.164703441869	39.4244718126831	222.92506667010738	421.61760026450463	15.389377353908063	3486.222679127191	6.63832449368647	167.3769935460971	6.551398969015143	48.99949487827015	318.9191434817256	0.0	15.119531760116606	1974.7562624772274	5179.283599411953	0.0
PWY-5179	433.81645372688195	95.85198465872176	10381.233071057433	562.3410009621371	2466.234427416137	148.40093777943824	56288.268849486	0.0	843.3734290103486	2601.7998801692675	147.41209210344024	10305.405631450696	12949.734616624644	0.0	244.35633295346216	0.0	0.0	0.0	0.0	0.0	66.61763502660843	1968.571992529149	378.6494945804175	58.25403967395298	2546.7879512518025	1522.589211538054	288.05278632618257	176.69634287988262	1813.2640385666405	0.0	0.0	1165.4294225245492	20139.589782993135	74811.33443088269	205.47583321565796	0.0	8849.008658478957	22578.64555589527	458.97055741465596	33.97987752624546	0.0	0.0	0.0	0.0	0.0	0.0	64.09173695309535	0.0	0.0	28.28399121239614	150.00397089640782	2926.886288829984	29.01870851030351	52.025197883533906	238.46236376748718	23.04723904027809	14028.257154757912	0.0	396.45845150909616	0.0	0.0	5.983362580718956	0.0	5.690742704069222	1489.4823870550335	17967.0443949739	453.7849428078136
PWY-5180	174941.5181057245	7181.234449804964	28617.68540835985	12780.962974904773	8550.503566953992	5250.111085272823	134367.9121920708	5544.305964264209	3464.6208396097177	8682.841488585433	604.7916799102301	48158.515631463335	37368.45371691527	15349.433208597862	114959.13674458754	8328.174825507404	2407.4630670762085	213.45291030146836	10577.48088128268	2648.74039061826	2141.5316340312193	8859.879587185504	5767.004095818952	79790.05171907907	55308.16553264951	79283.14265738858	39210.579869224355	75504.94194694683	75624.48848533198	3902.4541593560443	0.0	4502.74605033119	60460.7762822341	163351.04289990535	44582.784470552804	1795.2924180947612	84787.50659274004	116900.74776788827	108984.3721166972	77950.48223790337	1324.0535239432115	373.0406780425551	9633.243054294679	4321.824148975163	20052.343428418095	514.0952535105122	14157.406531731265	4839.071524283205	72712.97078471085	102991.94833810277	12001.594632209544	104927.38910826224	591.6953568786802	1394.0570511214842	5514.406963032719	297.8995754581306	23572.126246182845	280.73757081767616	13294.721871285758	273.93742110538153	2818.983673576544	1474.613694842915	2437.712534614774	77.1030718798555	22270.75049082439	45350.22425770433	2836.655957499343
PWY-5181	18921.952141560087	0.0	302.76852780920416	13940.212614951284	5729.867994698672	7850.338146356497	43555.76456519031	2099.383496820778	2173.3043958538783	6830.690952130526	541.3481091659527	19494.362373545882	26174.711389085816	13.454636024043037	96429.3061111865	125.81708516147637	109.21677961234279	0.0	916.4275824955312	1827.8552378021861	430.8420178040476	7056.171713541895	1977.7410610137367	20730.10919627481	16274.481807450455	81667.09157232824	37641.823893031535	7782.927600750024	12708.379508491536	474.4400855542798	0.0	996.9465782063851	37792.52392469719	88620.10492014933	3063.8426705598217	0.0	37282.015869968294	23337.259911203837	4726.292846793146	6696.153488023804	114.21321722978244	0.0	519.0096942382022	117.70480695561882	0.0	0.0	9082.017409622304	0.0	11773.0512687428	25004.405981516386	13356.899081113716	104434.10319819933	245.9234851840402	375.80075141110336	1549.106811220313	0.0	3772.1875946155174	0.0	14132.207787316647	23.30953230589724	157.41352233615382	576.6711475201286	20.287456980041867	64.60872215484504	69.67097203717499	2995.7289887468846	30.62980956868691
PWY-5182	1963.703217114682	0.0	180.48271756938274	0.0	0.0	259.6014823088221	958.7355341742233	0.0	0.0	105.75816755213233	0.0	2062.3052296670635	1532.32199661099	0.0	5235.287613960091	42.50945561158972	105.71451830087324	0.0	74.2770827534112	0.0	99.65548236343145	490.43696375860776	84.2022330456276	992.1341655159357	110.01548422937411	142.83409993808365	30.114548031897808	5266.376232529287	7780.913804201585	0.0	0.0	0.0	176.20517635276084	2182.8463846546847	0.0	0.0	530.4128461802807	0.0	1441.18126137656	4141.290257015425	71.2294008520297	0.0	363.1571681817647	0.0	0.0	0.0	0.0	0.0	8262.00852888154	0.0	9.76353090498617	346.8300066893015	102.66201505437083	0.0	1112.2369398420064	0.0	221.7829149676179	0.0	23.446220452099016	19.300473643712337	94.73733305228023	0.0	0.0	0.0	61.71830385477183	63.89871023126384	0.0
PWY-5183	485.001432993193	0.0	29.498932382232574	0.0	0.0	137.0023480832741	878.7572931651633	0.0	0.0	96.82664359524307	0.0	1865.9548519348205	1402.4763381079633	0.0	301.5564054047889	0.0	0.0	0.0	0.0	0.0	59.22733728261404	16.19874183513677	0.0	44.24265780287719	100.39487901913593	129.43635449716888	27.430524860053673	0.0	2015.2361032832691	0.0	0.0	0.0	161.45406047307105	1998.6838512753206	0.0	0.0	483.4402994209631	0.0	557.2840530306446	59.85433538977754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.876255751197512	312.62669550131227	30.898891174667224	0.0	263.32565349448265	0.0	203.26546326331686	0.0	21.34594524272048	0.0	0.0	0.0	0.0	0.0	56.10006700775173	58.56353934502647	0.0
PWY-5188	327357.8502952653	104615.20373028527	79685.02377715567	318660.35571327986	282725.7511714798	139597.73573138067	186983.12855060582	99945.03497502493	153906.47646611274	237542.08341588476	137068.774149823	168750.84247565235	231826.59831937513	215906.63665937594	376350.4474876279	137377.0041066147	269416.63413876714	206744.68247612167	331941.5061309183	28285.196260712873	111976.64456103981	94342.69365032534	165474.34779113487	211183.8467982308	206064.83417585146	266088.4610768378	207683.97670844247	151531.6162538285	283189.019147349	347449.4701028097	5788.831671246907	9110.320276306362	174293.55628733718	262442.3365002838	123285.05136519892	116431.9171175439	184103.9737373212	292123.3837945155	300648.3838565086	221675.09782063597	92215.02316773374	183060.17276202253	125700.43205004929	47405.184792949425	177532.29638886286	39684.55537074786	76809.70927954344	132772.98422759754	175928.84183569427	202113.7992507693	183687.4640469444	376594.2608518075	224927.89236527935	122010.89160600251	78560.3864989982	163798.20671371397	157329.6620475466	278069.9457477565	225529.54760548344	168105.5375664445	134093.10140823695	174679.7210117127	122623.57069074093	184144.2856288139	201980.73506470685	167583.68658474067	134013.60470255502
